block,lot,cartodb_id,plan_id,disposition_filterable,in_596,bbl
3323,45,448526,10429,"residential, commercial, open space",false,3033230045
4446,1,448527,10407,,true,3044460001
3812,22,448528,10391,"residential, commercial, public, institutional, open space, industrial",true,3038120022
3712,39,448529,10401,"industrial, commercial, public, community facility",false,3037120039
3828,1,448530,10391,"residential, commercial, public, institutional, open space, industrial",false,3038280001
3828,1,448531,10395,open space,false,3038280001
3499,21,448532,10412,"residential, commercial, public, semi-public, open space",true,3034990021
3830,18,448533,10391,"residential, commercial, public, institutional, open space, industrial",false,3038300018
3830,18,448534,10395,,false,3038300018
3830,2,448535,10391,"residential, commercial, public, institutional, open space, industrial",false,3038300002
3830,2,448536,10395,,false,3038300002
3856,7,448537,10391,"residential, commercial, public, institutional, open space, industrial",false,3038560007
3681,40,448538,10401,"industrial, commercial, public, community facility",false,3036810040
3618,33,448539,10390,illegible,false,3036180033
3516,75,448540,10412,"residential, commercial, public, semi-public, open space",false,3035160075
3817,23,448541,10395,residential,true,3038170023
3817,23,448542,10430,,true,3038170023
3692,11,448543,10395,residential,false,3036920011
3695,8,448544,10401,"industrial, commercial, public, community facility",false,3036950008
3692,32,448545,10391,"residential, commercial, public, institutional, open space, industrial",false,3036920032
3692,32,448546,10395,residential,false,3036920032
4082,1,448547,10402,"residential, community facility",false,3040820001
3867,10,448548,10430,,false,3038670010
2266,20,448549,10388,industrial,false,3022660020
3461,4,448550,10428,"residential, community facility, open space",false,3034610004
3693,18,448551,10395,residential,false,3036930018
3566,6,448552,10412,"residential, commercial, public, semi-public, open space",true,3035660006
4082,21,448553,10402,"residential, community facility",false,3040820021
4082,26,448554,10402,"residential, community facility",false,3040820026
3553,27,448555,10412,"residential, commercial, public, semi-public, open space",false,3035530027
3080,40,448556,10410,residential,false,3030800040
3806,49,448557,10395,residential,false,3038060049
3857,27,448558,10391,"residential, commercial, public, institutional, open space, industrial",true,3038570027
3515,45,448559,10412,"residential, commercial, public, semi-public, open space",false,3035150045
3791,39,448560,10395,residential,false,3037910039
3567,28,448561,10412,"residential, commercial, public, semi-public, open space",false,3035670028
3519,22,448562,10412,"residential, commercial, public, semi-public, open space",false,3035190022
3854,4,448563,10430,,false,3038540004
3854,12,448564,10430,,false,3038540012
3533,37,448565,10395,residential,false,3035330037
2236,8,448566,10416,residential,false,3022360008
3851,25,448567,10430,,false,3038510025
3517,62,448568,10412,"residential, commercial, public, semi-public, open space",false,3035170062
3601,52,448569,10412,"residential, commercial, public, semi-public, open space",false,3036010052
2191,9,448570,10383,,false,3021910009
4085,6,448571,10402,"residential, community facility",false,3040850006
3811,17,448572,10391,"residential, commercial, public, institutional, open space, industrial",true,3038110017
3461,13,448573,10428,"residential, community facility, open space",false,3034610013
3518,22,448574,10412,"residential, commercial, public, semi-public, open space",false,3035180022
4068,56,448575,10402,"residential, community facility",false,3040680056
4068,28,448576,10402,"residential, community facility",false,3040680028
2269,31,448577,10388,industrial,true,3022690031
3601,6,448578,10412,"residential, commercial, public, semi-public, open space",false,3036010006
3771,49,448579,10430,,false,3037710049
3516,73,448580,10412,"residential, commercial, public, semi-public, open space",false,3035160073
3754,13,448581,10395,illegible,false,3037540013
3754,13,448582,10430,,false,3037540013
2266,40,448583,10388,industrial,false,3022660040
3511,60,448584,10395,residential,false,3035110060
3081,80,448585,10410,residential,false,3030810080
3715,10,448586,10401,"industrial, commercial, public, community facility",false,3037150010
3789,54,448587,10395,residential,false,3037890054
3518,58,448588,10412,"residential, commercial, public, semi-public, open space",false,3035180058
3682,54,448589,10401,"industrial, commercial, public, community facility",false,3036820054
3567,8,448590,10412,"residential, commercial, public, semi-public, open space",false,3035670008
3540,22,448591,10412,"residential, commercial, public, semi-public, open space",false,3035400022
3511,57,448592,10395,residential,false,3035110057
3601,3,448593,10412,"residential, commercial, public, semi-public, open space",false,3036010003
3515,56,448594,10412,"residential, commercial, public, semi-public, open space",false,3035150056
3461,14,448595,10428,"residential, community facility, open space",false,3034610014
3519,42,448596,10412,"residential, commercial, public, semi-public, open space",false,3035190042
2180,7501,448597,10383,,false,3021807501
4085,13,448598,10402,"residential, community facility",false,3040850013
2191,4,448599,10383,,false,3021910004
3618,21,448600,10390,illegible,false,3036180021
4084,9,448601,10402,"residential, community facility",false,3040840009
4452,460,448602,10407,,false,3044520460
3625,38,448603,10391,"residential, commercial, public, institutional, open space, industrial",false,3036250038
3499,27,448604,10412,"residential, commercial, public, semi-public, open space",false,3034990027
3854,1,448605,10430,,false,3038540001
3510,33,448606,10395,residential,false,3035100033
2269,33,448607,10388,industrial,true,3022690033
3735,1,448608,10395,industrial,false,3037350001
3735,1,448609,10401,"industrial, commercial, public, community facility",false,3037350001
4068,11,448610,10402,"residential, community facility",false,3040680011
3792,29,448611,10395,residential,false,3037920029
3677,42,448612,10391,"residential, commercial, public, institutional, open space, industrial",false,3036770042
3677,42,448613,10395,residential,false,3036770042
3601,16,448614,10412,"residential, commercial, public, semi-public, open space",false,3036010016
3516,23,448615,10412,"residential, commercial, public, semi-public, open space",false,3035160023
3603,25,448616,10390,commercial,false,3036030025
3716,30,448617,10401,"industrial, commercial, public, community facility",false,3037160030
3639,35,448618,10390,"public, semi-public",true,3036390035
3410,1,448619,10429,"residential, commercial, open space",false,3034100001
4068,41,448620,10402,"residential, community facility",false,3040680041
3716,23,448621,10401,"industrial, commercial, public, community facility",false,3037160023
4082,44,448622,10402,"residential, community facility",false,3040820044
3717,24,448623,10401,"industrial, commercial, public, community facility",false,3037170024
3676,24,448624,10391,"residential, commercial, public, institutional, open space, industrial",false,3036760024
3676,24,448625,10395,residential,false,3036760024
3680,129,448626,10401,"industrial, commercial, public, community facility",true,3036800129
2266,18,448627,10388,industrial,true,3022660018
3749,10,448628,10401,"industrial, commercial, public, community facility",false,3037490010
2266,15,448629,10388,industrial,false,3022660015
3516,74,448630,10412,"residential, commercial, public, semi-public, open space",false,3035160074
3601,12,448631,10412,"residential, commercial, public, semi-public, open space",false,3036010012
3856,5,448632,10391,"residential, commercial, public, institutional, open space, industrial",true,3038560005
3749,3,448666,10395,illegible,false,3037490003
3702,30,448633,10401,"industrial, commercial, public, community facility",false,3037020030
4068,35,448634,10402,"residential, community facility",false,3040680035
3410,33,448635,10429,"residential, commercial, open space",false,3034100033
3682,56,448636,10401,"industrial, commercial, public, community facility",false,3036820056
3232,1,448637,10429,"residential, commercial, open space",false,3032320001
4082,40,448638,10402,"residential, community facility",false,3040820040
3818,1,448639,10430,,false,3038180001
3845,49,448640,10391,"residential, commercial, public, institutional, open space, industrial",false,3038450049
3719,15,448641,10401,"industrial, commercial, public, community facility",false,3037190015
3811,27,448642,10391,"residential, commercial, public, institutional, open space, industrial",true,3038110027
3692,3,448643,10391,"residential, commercial, public, institutional, open space, industrial",true,3036920003
3692,3,448644,10395,residential,true,3036920003
3692,107,448645,10395,residential,false,3036920107
4068,20,448646,10402,"residential, community facility",false,3040680020
3567,5,448647,10412,"residential, commercial, public, semi-public, open space",false,3035670005
3830,20,448648,10391,"residential, commercial, public, institutional, open space, industrial",false,3038300020
3830,20,448649,10395,,false,3038300020
3845,5,448650,10391,"residential, commercial, public, institutional, open space, industrial",false,3038450005
3748,47,448651,10401,"industrial, commercial, public, community facility",false,3037480047
4452,540,448652,10407,,false,3044520540
3517,56,448653,10412,"residential, commercial, public, semi-public, open space",false,3035170056
3865,35,448654,10430,,false,3038650035
3811,18,448655,10391,"residential, commercial, public, institutional, open space, industrial",true,3038110018
3817,17,448656,10395,residential,true,3038170017
3817,17,448657,10430,,true,3038170017
3557,23,448658,10412,"residential, commercial, public, semi-public, open space",false,3035570023
3677,45,448659,10391,"residential, commercial, public, institutional, open space, industrial",false,3036770045
3677,45,448660,10395,residential,false,3036770045
3151,12,448661,10426,"residential, commercial",false,3031510012
2249,122,448662,10388,industrial,false,3022490122
3818,37,448663,10395,residential,false,3038180037
3818,37,448664,10430,,false,3038180037
2191,7,448665,10383,,false,3021910007
15960,39,452638,10442,residential,false,4159600039
3749,3,448667,10401,"industrial, commercial, public, community facility",false,3037490003
3681,21,448668,10401,"industrial, commercial, public, community facility",false,3036810021
3826,48,448669,10395,residential,false,3038260048
3826,48,448670,10430,,false,3038260048
3812,20,448671,10391,"residential, commercial, public, institutional, open space, industrial",true,3038120020
3692,16,448672,10395,residential,false,3036920016
3693,16,448673,10395,residential,true,3036930016
3692,12,448674,10395,residential,true,3036920012
3817,22,448675,10395,residential,true,3038170022
3817,22,448676,10430,,true,3038170022
3692,9,448677,10395,residential,false,3036920009
3719,9,448678,10401,"industrial, commercial, public, community facility",false,3037190009
3817,1,448679,10430,,false,3038170001
3588,36,448680,10412,"residential, commercial, public, semi-public, open space",true,3035880036
3847,1,448681,10391,"residential, commercial, public, institutional, open space, industrial",false,3038470001
3593,34,448682,10390,residential,false,3035930034
3694,24,448683,10391,"residential, commercial, public, institutional, open space, industrial",false,3036940024
3694,24,448684,10395,residential,false,3036940024
3692,15,448685,10395,residential,true,3036920015
3590,40,448686,10390,illegible,true,3035900040
3678,3,448687,10401,"industrial, commercial, public, community facility",false,3036780003
3683,37,448688,10401,"industrial, commercial, public, community facility",false,3036830037
3684,18,448689,10401,"industrial, commercial, public, community facility",false,3036840018
3847,26,448690,10391,"residential, commercial, public, institutional, open space, industrial",false,3038470026
3155,1,448691,10429,"residential, commercial, open space",false,3031550001
4452,470,448692,10407,,false,3044520470
3314,42,448693,10429,"residential, commercial, open space",false,3033140042
4068,15,448694,10402,"residential, community facility",false,3040680015
3351,1,448695,10429,"residential, commercial, open space",false,3033510001
3692,23,448696,10391,"residential, commercial, public, institutional, open space, industrial",false,3036920023
3692,23,448697,10395,residential,false,3036920023
3818,35,448698,10395,residential,false,3038180035
3818,35,448699,10430,,false,3038180035
2266,34,448700,10388,industrial,false,3022660034
2266,16,448701,10388,industrial,false,3022660016
3335,56,448702,10429,"residential, commercial, open space",false,3033350056
4084,23,448703,10402,"residential, community facility",false,3040840023
3822,6,448704,10430,,false,3038220006
3305,36,448705,10429,"residential, commercial, open space",false,3033050036
3618,14,448706,10390,illegible,false,3036180014
3618,3,448707,10390,illegible,false,3036180003
3811,21,448708,10391,"residential, commercial, public, institutional, open space, industrial",true,3038110021
3789,30,448709,10395,residential,false,3037890030
3791,25,448710,10395,residential,true,3037910025
3791,25,448711,10430,,true,3037910025
3818,41,448712,10395,residential,false,3038180041
3818,41,448713,10430,,false,3038180041
3857,25,448714,10391,"residential, commercial, public, institutional, open space, industrial",true,3038570025
3316,42,448715,10429,"residential, commercial, open space",false,3033160042
3316,103,448716,10429,"residential, commercial, open space",false,3033160103
3830,39,448717,10391,"residential, commercial, public, institutional, open space, industrial",false,3038300039
3830,39,448718,10395,,false,3038300039
3227,45,448719,10429,"residential, commercial, open space",false,3032270045
3589,12,448720,10412,"residential, commercial, public, semi-public, open space",false,3035890012
2266,41,448721,10388,industrial,false,3022660041
3865,24,448722,10430,,true,3038650024
3137,86,448723,10426,"residential, commercial, residential",false,3031370086
3541,7,448724,10412,"residential, commercial, public, semi-public, open space",false,3035410007
2240,17,448725,10416,residential,false,3022400017
3812,121,448726,10391,"residential, commercial, public, institutional, open space, industrial",true,3038120121
3515,59,448727,10412,"residential, commercial, public, semi-public, open space",false,3035150059
4082,9,448728,10402,"residential, community facility",false,3040820009
3825,13,448729,10395,residential,false,3038250013
3825,13,448730,10430,,false,3038250013
3316,31,448731,10429,"residential, commercial, open space",false,3033160031
3799,35,448732,10430,,false,3037990035
3341,1,448733,10429,"residential, commercial, open space",false,3033410001
3854,8,448734,10430,,false,3038540008
4068,50,448735,10402,"residential, community facility",false,3040680050
3803,128,448736,10395,residential,false,3038030128
3803,128,448737,10430,,false,3038030128
3516,17,448738,10412,"residential, commercial, public, semi-public, open space",false,3035160017
